FID	monSiteCode	latitude_WGS	longitude_WGS	monSiteCode	waterbodyCode	waterbodyName
0	SJB1548000	58.211944	26.100278	SJB1548000	VEE2083800	Võrtsjärv
1	SJB1547000	58.2725	26.044722	SJB1547000	VEE2083800	Võrtsjärv
2	SJB1550000	58.337226	26.04556	SJB1550000	VEE2083800	Võrtsjärv
3	SJB1557000	58.384998	26.007494	SJB1557000	VEE2083800	Võrtsjärv
4	SJB1563000	58.10556	26.077214	SJB1563000	VEE2083800	Võrtsjärv
5	SJB1561000	58.157222	26.044434	SJB1561000	VEE2083800	Võrtsjärv
6	SJB1564000	58.125834	26.079438	SJB1564000	VEE2083800	Võrtsjärv
7	SJB1560000	58.201942	26.018329	SJB1560000	VEE2083800	Võrtsjärv
8	SJA1399000	58.809442	27.371656	SJA1399000	VEE2075600	Peipsi järv
9	SJA8471000	58.834442	27.106936	SJA8471000	VEE2075600	Peipsi järv
10	SJA7235000	58.921388	27.22999	SJA7235000	VEE2075600	Peipsi järv
11	SJA5720000	58.443325	27.276656	SJA5720000	VEE2075600	Peipsi järv
12	SJA1167000	58.233332	27.486658	SJA1167000	VEE2075600	Peipsi järv
13	SJA1802000	58.119722	27.575556	SJA1802000	VEE2075600	Peipsi järv
14	SJA1143000	58.586678	27.436672	SJA1143000	VEE2075600	Peipsi järv
15	SJB1555000	58.380833	26.115833	SJB1555000	VEE2083800	Võrtsjärv
16	SJB1558000	58.278611	25.968333	SJB1558000	VEE2083800	Võrtsjärv
17	SJA3463003	57.941202	27.346624	SJA3463003	VEE2129700	Valgõjärv (Nohipalo Valgõjärv)
18	SJA4014004	58.023184	26.455164	SJA4014004	VEE2105300	Pühajärv
19	SJA6244003	57.93165	27.342078	SJA6244003	VEE2129800	Mustjärv (Nohipalo Mustjärv)
20	SJA4477004	58.297668	26.420962	SJA4477004	VEE2084300	Karijärv
21	SJA3680004	58.325598	26.451638	SJA3680004	VEE2084100	Keeri järv
22	SJA6793003	57.727889	26.922329	SJA6793003	VEE2140300	Suurjärv (Rõuge Suurjärv)
23	SJA7254002	58.653716	26.828924	SJA7254002	VEE2057600	Jõemõisa järv
24	SJA1666003	58.642562	26.836794	SJA1666003	VEE2057800	Kaiu järv
25	SJA1080004	58.853573	26.196508	SJA1080004	VEE2052800	Endla järv
26	SJA5838002	59.114086	25.353427	SJA5838002	VEE2031910	Paunküla veehoidla
27	SJA1341003	59.548574	25.69183	SJA1341003	VEE2001000	Lohja järv
28	SJA3484003	59.333946	25.951984	SJA3484003	VEE2011500	Ohepalu järv
29	SJA2631005	59.35999	26.77282	SJA2631005	VEE2014100	Uljaste järv
30	SJA8493004	59.582504	25.883763	SJA8493004	VEE2001100	Käsmu järv
31	SJA0836003	58.480443	22.149198	SJA0836003	VEE2070800	Kooru järv
32	SJA3522004	59.179942	23.811136	SJA3522004	VEE2028300	Tänavjärv
33	SJA7954003	59.444854	24.995372	SJA7954003	VEE2005910	Maardu järv
34	SJA4166003	59.30889	24.235852	SJA4166003	VEE2005500	Klooga järv
35	SJA2964002	59.22673	24.218037	SJA2964002	VEE2005520	Rummu järv
36	SJA1890002	59.343728	24.713104	SJA1890002	VEE2006020	Männiku järv
37	SJA0794002	59.352838	24.745834	SJA0794002	VEE2006030	Raku järv
38	SJA4014000	58.0375	26.459444	SJA4014000	VEE2105300	Pühajärv
39	SJA3463000	57.942778	27.346944	SJA3463000	VEE2129700	Valgõjärv (Nohipalo Valgõjärv)
40	SJA6244000	57.934073	27.343464	SJA6244000	VEE2129800	Mustjärv (Nohipalo Mustjärv)
41	SJA6793000	57.729156	26.919164	SJA6793000	VEE2140300	Suurjärv (Rõuge Suurjärv)
42	SJA0915000	58.000654	26.743604	SJA0915000	VEE2122400	Jõksi järv
43	SJA5133000	58.554921	26.686427	SJA5133000	VEE2065200	Soitsjärv
44	SJA4568000	58.535556	26.654167	SJA4568000	VEE2065300	Saadjärv
45	SJA1988000	58.604131	26.675435	SJA1988000	VEE2057100	Kaiavere järv
46	SJA8064000	58.574712	26.704114	SJA8064000	VEE2065100	Elistvere järv
47	SJA5001000	57.711111	26.502778	SJA5001000	VEE2136000	Ähijärv
48	SJA8114000	57.950734	25.625638	SJA8114000	VEE2114800	Tündre järv
49	SJA2470000	57.685273	26.351689	SJA2470000	VEE2136600	Aheru järv / Kandsi järv
50	SJA1747000	57.842222	26.930556	SJA1747000	VEE2126100	Vagula järv
51	SJA0852000	57.840238	26.984902	SJA0852000	VEE2126200	Tamula järv
52	SJA6402000	57.870414	26.646134	SJA6402000	VEE2124100	Lõõdla järv
53	SJA2699000	58.589018	26.655054	SJA2699000	VEE2065000	Raigastvere järv
54	SJA9078000	58.71795	26.549874	SJA9078000	VEE2055400	Kuremaa järv
55	SJA8459000	58.640715	26.567177	SJA8459000	VEE2056900	Pikkjärv (Kaarepere Pikkjärv)
56	SJA1080000	58.852492	26.216564	SJA1080000	VEE2052800	Endla järv
57	SJA7186000	59.063091	26.241628	SJA7186000	VEE2043600	Sinijärv (Äntu Sinijärv)
58	SJA7593000	59.4475	26.011944	SJA7593000	VEE2003900	Pikkjärv (Viitna Pikkjärv)
59	SJA2631000	59.358333	26.781111	SJA2631000	VEE2014100	Uljaste järv
60	SJA3522000	59.185	23.830278	SJA3522000	VEE2028300	Tänavjärv
61	SJA1985000	58.243333	22.421111	SJA1985000	VEE2088600	Suurlaht / Kellamäe laht
62	SJA0836000	58.487222	22.14	SJA0836000	VEE2070800	Kooru järv
63	SJA5001004	57.712222	26.500279	SJA5001004	VEE2136000	Ähijärv
64	SJA5249004	58.19415	26.573216	SJA5249004	VEE2100600	Pangodi järv
65	SJA0675003	58.230648	26.404213	SJA0675003	VEE2093200	Verevi järv
66	SJA1558003	57.586385	27.091667	SJA1558003	VEE2155900	Murati järv
67	SJA3377003	57.604454	27.215014	SJA3377003	VEE2155200	Pulli järv
68	SJA3211002	57.683907	27.249668	SJA3211002	VEE2144700	Kirikumäe järv
69	SJA0320003	57.611108	27.39194	SJA0320003	VEE2156700	Pabra järv
70	SJA7593003	59.446665	26.011104	SJA7593003	VEE2003900	Pikkjärv (Viitna Pikkjärv)
71	SJA7529003	58.935937	25.083202	SJA7529003	VEE2048700	Loosalu järv
72	SJA1985005	58.250461	22.414366	SJA1985005	VEE2088600	Suurlaht / Kellamäe laht
73	SJA9911004	58.36923	23.981459	SJA9911004	VEE2082300	Ermistu järv
74	SJA9298003	58.14423	25.343296	SJA9298003	VEE2098500	Kariste järv
75	SJA0014003	58.4275	23.991943	SJA0014003	VEE2073400	Tõhela järv
76	SJA5887004	57.749208	26.393634	SJA5887004	VEE2133700	Köstrijärv
77	SJA7444006	58.656115	26.762782	SJA7444006	VEE2057300	Saare järv
78	SJA8061003	58.234445	22.319726	SJA8061003	VEE2088620	Vägara laht
79	SJA7095007	58.244406	22.365956	SJA7095007	VEE2088610	Mullutu laht
80	SJA7478003	58.371018	22.216097	SJA7478003	VEE2076800	Karujärv
81	SJA8081003	58.49811	22.408584	SJA8081003	VEE2071200	Järise järv
82	SJA5129003	58.454997	23.181392	SJA5129003	VEE2078730	Undu laht
83	SJA9591003	58.328331	22.875274	SJA9591003	VEE2078700	Oessaare laht
84	SJA1345003	58.249278	22.442936	SJA1345003	VEE2088700	Linnulaht
85	SJA3356002	58.49361	22.964722	SJA3356002	VEE2071500	Koigi järv
86	SJA1446003	58.854296	22.556816	SJA1446003	VEE2051300	Tihu järv
87	SJA7113001	58.985714	22.484203	SJA7113001	VEE2051340	Kirikulaht
88	SJA1938003	58.206702	25.520516	SJA1938003	VEE2089700	Õisu järv
89	SJA0642004	58.124444	25.685834	SJA0642004	VEE2099100	Mäeküla järv
90	SJA9126005	58.352219	25.594722	SJA9126005	VEE2082800	Viljandi järv
91	SJA9314003	58.018055	25.510279	SJA9314003	VEE2099300	Ruhijärv
92	SJA7186002	59.0631	26.241665	SJA7186002	VEE2043600	Sinijärv (Äntu Sinijärv)
93	SJA7791003	59.264058	27.59757	SJA7791003	VEE2025900	Valgejärv (Kurtna Valgejärv)
94	SJA6919003	58.697087	24.682853	SJA6919003	VEE2054000	Kaisma järv
95	SJA4521004	58.559701	24.313796	SJA4521004	VEE2064400	Lavassaare järv
96	SJA4174003	58.007296	24.707278	SJA4174003	VEE2097400	Nigula järv
97	SJA7317000	58.486649	25.805538	SJA7317000	VEE2074900	Parika järv
98	SJA8716003	57.579473	27.213001	SJA8716003	VEE2155500	Hino järv
99	SJA5314003	58.427912	27.143801	SJA5314003	VEE2075500	Koosa järv
100	SJA3341000	58.367337	27.281664	SJA3341000	VEE2085500	Leego järv
101	SJA3089004	58.574796	27.190064	SJA3089004	VEE2065600	Lahepera järv
102	SJA9632000	59.484086	25.531091	SJA9632000	VEE2001600	Kahala järv
103	SJA4742003	59.069476	23.520298	SJA4742003	VEE2038300	Vööla meri / Bysholmsvike
104	SJA6326002	58.589729	23.554092	SJA6326002	VEE2062820	Mõisalaht
105	SJA7942003	58.377106	27.231768	SJA7942003	VEE2085400	Kalli järv
106	SJA1683004	59.218248	27.579798	SJA1683004	VEE2027900	Konsu järv
107	SJA4014005	58.039722	26.463608	SJA4014005	VEE2105300	Pühajärv
108	SJA7317003	58.486649	25.805538	SJA7317003	VEE2074900	Parika järv
